issue_key,summary,description,issue_type,status,priority,resolution,created,updated,assignee,reporter,components,labels,comments,parent,clean_text,tokens
YARN-5648,[ATSv2 Security] Client side changes for authentication,,Sub-task,Resolved,Major,Fixed,2016-09-14T04:31:52.659+0000,2017-10-21T06:05:20.122+0000,Varun Saxena,Varun Saxena,['timelineserver'],['yarn-5355-merge-blocker'],14,YARN-5355,atsv security client side change authentication,"['atsv', 'security', 'client', 'side', 'change', 'authentication']"
YARN-5673,"[Umbrella] Re-write container-executor to improve security, extensibility, and portability","As YARN adds support for new features that require administrator privileges(such as support for network throttling and docker), we’ve had to add new capabilities to the container-executor. This has led to a recognition that the current container-executor security features as well as the code could be improved. The current code is fragile and it’s hard to add new features without causing regressions. Some of the improvements that need to be made are -

*Security*

Currently the container-executor has limited security features. It relies primarily on the permissions set on the binary but does little additional security beyond that. There are few outstanding issues today -

- No audit log
- No way to disable features - network throttling and docker support are built in and there’s no way to turn them off at a container-executor level
- Code can be improved - a lot of the code switches users back and forth in an arbitrary manner
- No input validation - the paths, and files provided at invocation are not validated or required to be in some specific location
- No signing functionality - there is no way to enforce that the binary was invoked by the NM and not by any other process

*Code Issues*

The code layout and implementation themselves can be improved. Some issues there are -

- No support for log levels - everything is logged and this can’t be turned on or off
- Extremely long set of invocation parameters(specifically during container launch) which makes turning features on or off complicated
- Poor test coverage - it’s easy to introduce regressions today due to the lack of a proper test setup
- Duplicate functionality - there is some amount of code duplication
- Hard to make improvements or add new features due to the issues raised above

*Portability*

 - The container-executor mixes platform dependent APIs with platform independent APIs making it hard to run it on multiple platforms. Allowing it to run on multiple platforms also improves the overall code structure .

One option is to improve the existing container-executor, however it might be easier to start from scratch. That allows existing functionality to be supported until we are ready to switch to the new code.

This umbrella JIRA is to capture all the work required for the new code. I'm going to work on a design doc for the changes - any suggestions or improvements are welcome.",New Feature,Open,Major,,2016-09-26T14:08:12.598+0000,2017-11-17T18:55:49.512+0000,Varun Vasudev,Varun Vasudev,['nodemanager'],[],12,,umbrella write container executor improve security extensibility portability yarn add support new feature require administrator privilege support network throttling docker add new capability container executor lead recognition current container executor security feature well code could improve current code fragile hard add new feature without cause regression improvement need make security currently container executor limit security feature rely primarily permission set binary little additional security beyond outstanding issue today audit log way disable feature network throttling docker support build way turn container executor level code improve lot code switch user back forth arbitrary manner input validation path file provide invocation validate require specific location signing functionality way enforce binary invoke process code issue code layout implementation improve issue support log level everything log turn extremely long set invocation parameter specifically container launch make turn feature complicated poor test coverage easy introduce regression today due lack proper test setup duplicate functionality amount code duplication hard make improvement add new feature due issue raise portability container executor mix platform dependent apis platform independent apis make hard run multiple platform allow run multiple platform also improve overall code structure one option improve exist container executor however might easy start scratch allow existing functionality support ready switch new code umbrella jira capture work require new code work design doc change suggestion improvement welcome,"['umbrella', 'write', 'container', 'executor', 'improve', 'security', 'extensibility', 'portability', 'yarn', 'add', 'support', 'new', 'feature', 'require', 'administrator', 'privilege', 'support', 'network', 'throttling', 'docker', 'add', 'new', 'capability', 'container', 'executor', 'lead', 'recognition', 'current', 'container', 'executor', 'security', 'feature', 'well', 'code', 'could', 'improve', 'current', 'code', 'fragile', 'hard', 'add', 'new', 'feature', 'without', 'cause', 'regression', 'improvement', 'need', 'make', 'security', 'currently', 'container', 'executor', 'limit', 'security', 'feature', 'rely', 'primarily', 'permission', 'set', 'binary', 'little', 'additional', 'security', 'beyond', 'outstanding', 'issue', 'today', 'audit', 'log', 'way', 'disable', 'feature', 'network', 'throttling', 'docker', 'support', 'build', 'way', 'turn', 'container', 'executor', 'level', 'code', 'improve', 'lot', 'code', 'switch', 'user', 'back', 'forth', 'arbitrary', 'manner', 'input', 'validation', 'path', 'file', 'provide', 'invocation', 'validate', 'require', 'specific', 'location', 'signing', 'functionality', 'way', 'enforce', 'binary', 'invoke', 'process', 'code', 'issue', 'code', 'layout', 'implementation', 'improve', 'issue', 'support', 'log', 'level', 'everything', 'log', 'turn', 'extremely', 'long', 'set', 'invocation', 'parameter', 'specifically', 'container', 'launch', 'make', 'turn', 'feature', 'complicated', 'poor', 'test', 'coverage', 'easy', 'introduce', 'regression', 'today', 'due', 'lack', 'proper', 'test', 'setup', 'duplicate', 'functionality', 'amount', 'code', 'duplication', 'hard', 'make', 'improvement', 'add', 'new', 'feature', 'due', 'issue', 'raise', 'portability', 'container', 'executor', 'mix', 'platform', 'dependent', 'apis', 'platform', 'independent', 'apis', 'make', 'hard', 'run', 'multiple', 'platform', 'allow', 'run', 'multiple', 'platform', 'also', 'improve', 'overall', 'code', 'structure', 'one', 'option', 'improve', 'exist', 'container', 'executor', 'however', 'might', 'easy', 'start', 'scratch', 'allow', 'existing', 'functionality', 'support', 'ready', 'switch', 'new', 'code', 'umbrella', 'jira', 'capture', 'work', 'require', 'new', 'code', 'work', 'design', 'doc', 'change', 'suggestion', 'improvement', 'welcome']"
YARN-5668,Support content-type: application/json in RM's /conf endpoint,"- Right now all requests send to RM's /conf endpoint is responded with xml data. Would be great if the endpoint checks the request headers, and return data in JSON format for content-type: application/json.
- This would make accessing configurations from web UIs easier. Else it would add an extra UI dependency on any of the xml libraries.",Improvement,Open,Major,,2016-09-26T08:13:31.246+0000,2016-09-26T12:13:48.039+0000,,Sreenath Somarajapuram,[],[],1,,support content type application json conf endpoint right request send conf endpoint respond xml datum would great endpoint check request header return datum json format content type application json would make accessing configuration web uis easy else would add extra dependency xml library,"['support', 'content', 'type', 'application', 'json', 'conf', 'endpoint', 'right', 'request', 'send', 'conf', 'endpoint', 'respond', 'xml', 'datum', 'would', 'great', 'endpoint', 'check', 'request', 'header', 'return', 'datum', 'json', 'format', 'content', 'type', 'application', 'json', 'would', 'make', 'accessing', 'configuration', 'web', 'uis', 'easy', 'else', 'would', 'add', 'extra', 'dependency', 'xml', 'library']"
YARN-5667,Move HBase backend code in ATS v2  into its separate module,"The HBase backend code currently lives along with the core ATS v2 code in hadoop-yarn-server-timelineservice module. Because Resource Manager depends on hadoop-yarn-server-timelineservice, an unnecessary dependency of the RM module on HBase modules is introduced (HBase backend is pluggable, so we do not need to directly pull in HBase jars). 

In our internal effort to try ATS v2 with HBase 2.0 which depends on Hadoop 3, we encountered a circular dependency during our builds between HBase2.0 and Hadoop3 artifacts.
{code}
hadoop-mapreduce-client-common, hadoop-yarn-client, hadoop-yarn-server-resourcemanager, hadoop-yarn-server-timelineservice, hbase-server, hbase-prefix-tree, hbase-hadoop2-compat, hadoop-mapreduce-client-jobclient, hadoop-mapreduce-client-common]
{code}


This jira proposes we move all HBase-backend-related code from hadoop-yarn-server-timelineservice into its own module (possible name is yarn-server-timelineservice-storage) so that core RM modules do not depend on HBase modules any more.",Task,Resolved,Blocker,Done,2016-09-26T03:29:00.562+0000,2017-01-20T17:55:20.598+0000,Haibo Chen,Haibo Chen,['yarn'],[],37,,move hbase backend code separate module hbase backend code currently live along core code hadoop yarn server timelineservice module resource manager depend hadoop yarn server timelineservice unnecessary dependency module hbase module introduce hbase backend pluggable need directly pull hbase jar internal effort try hbase depend hadoop encounter circular dependency build hbase hadoop artifact code hadoop mapreduce client common hadoop yarn client hadoop yarn server resourcemanager hadoop yarn server timelineservice hbase server hbase prefix tree hbase hadoop compat hadoop mapreduce client jobclient hadoop mapreduce client common code jira propose move hbase backend relate code hadoop yarn server timelineservice module possible name yarn server timelineservice storage core module depend hbase module,"['move', 'hbase', 'backend', 'code', 'separate', 'module', 'hbase', 'backend', 'code', 'currently', 'live', 'along', 'core', 'code', 'hadoop', 'yarn', 'server', 'timelineservice', 'module', 'resource', 'manager', 'depend', 'hadoop', 'yarn', 'server', 'timelineservice', 'unnecessary', 'dependency', 'module', 'hbase', 'module', 'introduce', 'hbase', 'backend', 'pluggable', 'need', 'directly', 'pull', 'hbase', 'jar', 'internal', 'effort', 'try', 'hbase', 'depend', 'hadoop', 'encounter', 'circular', 'dependency', 'build', 'hbase', 'hadoop', 'artifact', 'code', 'hadoop', 'mapreduce', 'client', 'common', 'hadoop', 'yarn', 'client', 'hadoop', 'yarn', 'server', 'resourcemanager', 'hadoop', 'yarn', 'server', 'timelineservice', 'hbase', 'server', 'hbase', 'prefix', 'tree', 'hbase', 'hadoop', 'compat', 'hadoop', 'mapreduce', 'client', 'jobclient', 'hadoop', 'mapreduce', 'client', 'common', 'code', 'jira', 'propose', 'move', 'hbase', 'backend', 'relate', 'code', 'hadoop', 'yarn', 'server', 'timelineservice', 'module', 'possible', 'name', 'yarn', 'server', 'timelineservice', 'storage', 'core', 'module', 'depend', 'hbase', 'module']"
YARN-5658,YARN should have a hook to delete a path from HDFS when an application ends,"There are many cases when a client uploads data to HDFS and then needs to subsequently clean it up, such as with the distributed cache.  It would be helpful if YARN would do that cleanup automatically on job completion.

The hook could be generic to an URI supported by {{FileSystem}}.",Improvement,Open,Major,,2016-09-19T21:55:32.893+0000,2016-12-27T23:31:12.019+0000,Daniel Templeton,Daniel Templeton,['resourcemanager'],[],6,,yarn hook delete path hdfs application end many case client upload datum hdfs need subsequently clean distribute cache would helpful yarn would cleanup automatically job completion hook could generic uri support filesystem,"['yarn', 'hook', 'delete', 'path', 'hdfs', 'application', 'end', 'many', 'case', 'client', 'upload', 'datum', 'hdfs', 'need', 'subsequently', 'clean', 'distribute', 'cache', 'would', 'helpful', 'yarn', 'would', 'cleanup', 'automatically', 'job', 'completion', 'hook', 'could', 'generic', 'uri', 'support', 'filesystem']"
YARN-5644,Define exit code for allowing NodeManager health script to mar,"Done as a alternate design to YARN-5567.  Define a specific exit code for the health checker script (property yarn.nodemanager.health-checker.script.path) that allows the node to be blacklisted.

As discussed in the latter part of YARN-5567, the current design requirements are:
# Ignore all exit codes from the script
## _except_ the newly defined error code which will mark the NodeManager as UNHEALTHY
## This allows any syntax or functional errors in the script to be ignored
# Upon failure (or multiple recorded failures):
## Store the status in the metrics2 state on the NodeManager
## Allow the RM to blacklist the NM or allow the jobs to drain",Sub-task,Resolved,Major,Duplicate,2016-09-13T16:06:52.706+0000,2016-09-13T17:23:17.197+0000,Yufei Gu,Ray Chiang,['nodemanager'],['supportability'],1,YARN-5078,define exit code allow nodemanager health script mar alternate design yarn define specific exit code health checker script property yarn nodemanager health checker script path allow node blacklist discuss latter part yarn current design requirement ignore exit code script except newly define error code mark nodemanager unhealthy allow syntax functional error script ignore upon failure multiple record failure store status metric state nodemanager allow blacklist allow job drain,"['define', 'exit', 'code', 'allow', 'nodemanager', 'health', 'script', 'mar', 'alternate', 'design', 'yarn', 'define', 'specific', 'exit', 'code', 'health', 'checker', 'script', 'property', 'yarn', 'nodemanager', 'health', 'checker', 'script', 'path', 'allow', 'node', 'blacklist', 'discuss', 'latter', 'part', 'yarn', 'current', 'design', 'requirement', 'ignore', 'exit', 'code', 'script', 'except', 'newly', 'define', 'error', 'code', 'mark', 'nodemanager', 'unhealthy', 'allow', 'syntax', 'functional', 'error', 'script', 'ignore', 'upon', 'failure', 'multiple', 'record', 'failure', 'store', 'status', 'metric', 'state', 'nodemanager', 'allow', 'blacklist', 'allow', 'job', 'drain']"
YARN-5638,Introduce a collector timestamp to uniquely identify collectors creation order in collector discovery,"As discussed in YARN-3359, we need to further identify timeline collectors' creation order to rebuild collector discovery data in the RM. This JIRA proposes to use <rm_timestamp, logical_version_number> to order collectors for each application in the RM. This timestamp can then be used when a standby RM becomes active and rebuild collector discovery data. ",Sub-task,Resolved,Major,Fixed,2016-09-12T20:52:59.219+0000,2017-10-21T06:05:53.861+0000,Li Lu,Li Lu,['timelineserver'],[],27,YARN-5355,introduce collector timestamp uniquely identify collector creation order collector discovery discuss yarn need far identify timeline collector creation order rebuild collector discovery datum jira propose use order collector application timestamp use standby become active rebuild collector discovery datum,"['introduce', 'collector', 'timestamp', 'uniquely', 'identify', 'collector', 'creation', 'order', 'collector', 'discovery', 'discuss', 'yarn', 'need', 'far', 'identify', 'timeline', 'collector', 'creation', 'order', 'rebuild', 'collector', 'discovery', 'datum', 'jira', 'propose', 'use', 'order', 'collector', 'application', 'timestamp', 'use', 'standby', 'become', 'active', 'rebuild', 'collector', 'discovery', 'datum']"
YARN-5637,Changes in NodeManager to support Container rollback and commit,"YARN-5620 added support for re-initialization of Containers using a new launch Context.
This JIRA proposes to use the above feature to support upgrade and subsequent rollback or commit of the upgrade.",Sub-task,Resolved,Major,Fixed,2016-09-12T15:59:07.859+0000,2016-09-18T18:20:34.733+0000,Arun Suresh,Arun Suresh,[],[],20,YARN-4726,change nodemanager support container rollback commit yarn add support initialization container use new launch context jira propose use feature support upgrade subsequent rollback commit upgrade,"['change', 'nodemanager', 'support', 'container', 'rollback', 'commit', 'yarn', 'add', 'support', 'initialization', 'container', 'use', 'new', 'launch', 'context', 'jira', 'propose', 'use', 'feature', 'support', 'upgrade', 'subsequent', 'rollback', 'commit', 'upgrade']"
YARN-5606,Support multi-label merge into one node label,"Support multi-label merge into one node label
1. we want to support multo-label like SSD,GPU,FPGA label merged into single machine, joined by &. like SSD,GPU,FPGA-> SSD&GPU&FPGA
2. we add wildcard match to extend the job request. we define the wildcard like *GPU*, it will math all the node labels with GPU as part of multi-label merged label. For example, *GPU* will match  SSD&GPU&FPGA, GPU&FPGA. We define  SSD&GPU&FPGA={SSD,GPU,FPGA}, and GPU is one of {SSD,GPU,FPGA}, so the job can run on  SSD&GPU&FPGA node.",New Feature,Patch Available,Major,,2016-08-31T15:08:41.429+0000,2017-05-09T18:01:02.650+0000,,jialei weng,['resourcemanager'],['oct16-hard'],8,,support multi label merge one node label support multi label merge one node label want support multo label like ssd gpu fpga label merge single machine join like ssd gpu fpga ssd gpu fpga add wildcard match extend job request define wildcard like gpu math node label gpu part multi label merge label example gpu match ssd gpu fpga gpu fpga define ssd gpu fpga ssd gpu fpga gpu one ssd gpu fpga job run ssd gpu fpga node,"['support', 'multi', 'label', 'merge', 'one', 'node', 'label', 'support', 'multi', 'label', 'merge', 'one', 'node', 'label', 'want', 'support', 'multo', 'label', 'like', 'ssd', 'gpu', 'fpga', 'label', 'merge', 'single', 'machine', 'join', 'like', 'ssd', 'gpu', 'fpga', 'ssd', 'gpu', 'fpga', 'add', 'wildcard', 'match', 'extend', 'job', 'request', 'define', 'wildcard', 'like', 'gpu', 'math', 'node', 'label', 'gpu', 'part', 'multi', 'label', 'merge', 'label', 'example', 'gpu', 'match', 'ssd', 'gpu', 'fpga', 'gpu', 'fpga', 'define', 'ssd', 'gpu', 'fpga', 'ssd', 'gpu', 'fpga', 'gpu', 'one', 'ssd', 'gpu', 'fpga', 'job', 'run', 'ssd', 'gpu', 'fpga', 'node']"
YARN-5636,Support reserving resources on certain nodes for certain applications,"We have met such circumstance:
We are trying to run storm&kafka on yarn by Slider, and Storm&Kafka writes data to local disk on node. If some containers or the application fails, we expect that those containers would restart on the same node as they run before, otherwise data written on local would lost.
For slider, it will trying to ensure restarted container on same nodes as before. However for yarn, resource may be assigned to other applications when former long-running application is down.
As a result we'd better to have a mechanism that reserve some resource for certain long-running applications on certain nodes for a period of time. Does it make sense?",Improvement,Open,Major,,2016-09-12T02:35:38.605+0000,2017-12-12T07:39:45.876+0000,,Tao Jie,['scheduler'],[],2,,support reserve resource certain node certain application meet circumstance try run storm kafka yarn slider storm kafka write datum local disk node container application fail expect container would restart node run otherwise datum write local would lose slider try ensure restart container node however yarn resource may assign application former long running application result well mechanism reserve resource certain long running application certain node period time make sense,"['support', 'reserve', 'resource', 'certain', 'node', 'certain', 'application', 'meet', 'circumstance', 'try', 'run', 'storm', 'kafka', 'yarn', 'slider', 'storm', 'kafka', 'write', 'datum', 'local', 'disk', 'node', 'container', 'application', 'fail', 'expect', 'container', 'would', 'restart', 'node', 'run', 'otherwise', 'datum', 'write', 'local', 'would', 'lose', 'slider', 'try', 'ensure', 'restart', 'container', 'node', 'however', 'yarn', 'resource', 'may', 'assign', 'application', 'former', 'long', 'running', 'application', 'result', 'well', 'mechanism', 'reserve', 'resource', 'certain', 'long', 'running', 'application', 'certain', 'node', 'period', 'time', 'make', 'sense']"
YARN-5634,Simplify initialization/use of RouterPolicy via a RouterPolicyFacade ,"The current set of policies require some machinery to (re)initialize based on changes in the SubClusterPolicyConfiguration. This JIRA tracks the effort to hide much of that behind a simple RouterPolicyFacade, making lifecycle and usage of the policies easier to consumers.",Sub-task,Resolved,Major,Fixed,2016-09-10T00:16:35.521+0000,2017-09-25T21:26:56.917+0000,Carlo Curino,Carlo Curino,"['nodemanager', 'resourcemanager']",['oct16-medium'],25,YARN-2915,simplify initialization use routerpolicy via routerpolicyfacade current set policy require machinery initialize base change subclusterpolicyconfiguration jira track effort hide much behind simple routerpolicyfacade making lifecycle usage policy easy consumer,"['simplify', 'initialization', 'use', 'routerpolicy', 'via', 'routerpolicyfacade', 'current', 'set', 'policy', 'require', 'machinery', 'initialize', 'base', 'change', 'subclusterpolicyconfiguration', 'jira', 'track', 'effort', 'hide', 'much', 'behind', 'simple', 'routerpolicyfacade', 'making', 'lifecycle', 'usage', 'policy', 'easy', 'consumer']"
YARN-5629,Persist collector discovery information to support RM HA,"As discussed in YARN-3039, we deliberately delayed the work to persist collector discovery information. However, this feature becomes a blocker if we want to run timeline v2 on a HAed cluster. ",Sub-task,Resolved,Major,Duplicate,2016-09-08T23:01:58.065+0000,2016-09-09T18:09:49.084+0000,Li Lu,Li Lu,['timelineserver'],[],2,YARN-5355,persist collector discovery information support discuss yarn deliberately delay work persist collector discovery information however feature become blocker want run timeline haed cluster,"['persist', 'collector', 'discovery', 'information', 'support', 'discuss', 'yarn', 'deliberately', 'delay', 'work', 'persist', 'collector', 'discovery', 'information', 'however', 'feature', 'become', 'blocker', 'want', 'run', 'timeline', 'haed', 'cluster']"
YARN-5627,[Atsv2] Support streaming reader API to fetch entities,"There is no limit for size of TimelineEntitie object. It can be varied from KB's to MB. While reading entities list, it would be an potential issue that TimeLineReder would go into OOM situation based on the entity size and limit. 

Proposal is to support an streaming API to read entities list. ",Sub-task,Open,Major,,2016-09-08T08:16:02.422+0000,2019-08-30T06:39:30.432+0000,,Rohith Sharma K S,['timelinereader'],[],5,YARN-9802,atsv support streaming reader api fetch entity limit size timelineentitie object varied read entity list would potential issue timelinereder would oom situation base entity size limit proposal support stream api read entity list,"['atsv', 'support', 'streaming', 'reader', 'api', 'fetch', 'entity', 'limit', 'size', 'timelineentitie', 'object', 'varied', 'read', 'entity', 'list', 'would', 'potential', 'issue', 'timelinereder', 'would', 'oom', 'situation', 'base', 'entity', 'size', 'limit', 'proposal', 'support', 'stream', 'api', 'read', 'entity', 'list']"
YARN-5626,Support long running apps handling multiple flows,"Many applications which can potentially use ATS have one or a few long running AMs' which handle multiple tasks or serve multiple queries. As ATS scopes everything within an app, its not possible for us to differentiate different flows.
Moreover, all entities will be written to one or very few node collectors as writers are distributed based on app",Sub-task,Open,Major,,2016-09-08T04:17:47.998+0000,2019-08-30T06:26:28.655+0000,Varun Saxena,Varun Saxena,['timelineserver'],[],6,YARN-9802,support long running app handle multiple flow many application potentially use one long running handle multiple task serve multiple query scope everything within app possible differentiate different flow moreover entity write one node collector writer distribute base app,"['support', 'long', 'running', 'app', 'handle', 'multiple', 'flow', 'many', 'application', 'potentially', 'use', 'one', 'long', 'running', 'handle', 'multiple', 'task', 'serve', 'multiple', 'query', 'scope', 'everything', 'within', 'app', 'possible', 'differentiate', 'different', 'flow', 'moreover', 'entity', 'write', 'one', 'node', 'collector', 'writer', 'distribute', 'base', 'app']"
YARN-5605,Preempt containers (all on one node) to meet the requirement of starved applications,"Required items:
# Identify starved applications
# Identify a node that has enough containers from applications over their fairshare.
# Preempt those containers",Sub-task,Resolved,Major,Fixed,2016-08-31T03:51:40.577+0000,2016-11-03T04:00:39.144+0000,Karthik Kambatla,Karthik Kambatla,['fairscheduler'],[],50,YARN-4752,preempt container one node meet requirement starve application require item identify starve application identify node enough container application fairshare preempt container,"['preempt', 'container', 'one', 'node', 'meet', 'requirement', 'starve', 'application', 'require', 'item', 'identify', 'starve', 'application', 'identify', 'node', 'enough', 'container', 'application', 'fairshare', 'preempt', 'container']"
YARN-5619,Provide way to limit MRJob's stdout/stderr size,"We can run job with huge amount of stdout/stderr and causing undesired consequence. There is already a Jira which is been open for while now:
https://issues.apache.org/jira/browse/YARN-2231

The possible solution is to redirect Stdout's and Stderr's output to log4j in YarnChild.java main method via commands:

System.setErr( new PrintStream( new LoggingOutputStream( <Log4j logger>, Level.ERROR ), true));
System.setOut( new PrintStream( new LoggingOutputStream( <Log4j logger>, Level.INFO ), true));

In this case System.out and System.err will be redirected to log4j logger with appropriate appender that will direct output to stderr or stdout files with needed size limitation. 


Advantages of such solution:
- it allows us to restrict file sizes during job execution.

Disadvantages:
- It will work only for MRs jobs.
- logs are stored in memory and are flushed on disk only after job's finishing (syslog works the same way) - we can loose logs if container will be killed or failed.

Is it appropriate solution for solving this problem, or is there something better?

",Improvement,Resolved,Minor,Duplicate,2016-09-06T13:44:14.608+0000,2016-09-14T15:19:51.383+0000,,Aleksandr Balitsky,"['log-aggregation', 'nodemanager']",[],0,,provide way limit mrjob stdout stderr size run job huge amount stdout stderr cause undesired consequence already jira open possible solution redirect stdout stderr output log yarnchild java main method via command system seterr new printstream new loggingoutputstream level error true system setout new printstream new loggingoutputstream level info true case system system err redirect log logger appropriate appender direct output stderr stdout file need size limitation advantage solution allow restrict file size job execution disadvantage work mrs job log store memory flush disk job finish syslog work way loose log container kill fail appropriate solution solve problem something well,"['provide', 'way', 'limit', 'mrjob', 'stdout', 'stderr', 'size', 'run', 'job', 'huge', 'amount', 'stdout', 'stderr', 'cause', 'undesired', 'consequence', 'already', 'jira', 'open', 'possible', 'solution', 'redirect', 'stdout', 'stderr', 'output', 'log', 'yarnchild', 'java', 'main', 'method', 'via', 'command', 'system', 'seterr', 'new', 'printstream', 'new', 'loggingoutputstream', 'level', 'error', 'true', 'system', 'setout', 'new', 'printstream', 'new', 'loggingoutputstream', 'level', 'info', 'true', 'case', 'system', 'system', 'err', 'redirect', 'log', 'logger', 'appropriate', 'appender', 'direct', 'output', 'stderr', 'stdout', 'file', 'need', 'size', 'limitation', 'advantage', 'solution', 'allow', 'restrict', 'file', 'size', 'job', 'execution', 'disadvantage', 'work', 'mrs', 'job', 'log', 'store', 'memory', 'flush', 'disk', 'job', 'finish', 'syslog', 'work', 'way', 'loose', 'log', 'container', 'kill', 'fail', 'appropriate', 'solution', 'solve', 'problem', 'something', 'well']"
YARN-5618,Support for Intra queue preemption framework,"Currently inter-queue preemption framework covers the basics (configs and scheduling monitor interval etc). This new framework will come as new CandidateSelector policy. Priority and user-limit will be a part of this framework.

This is a tracking jira for the framework impl alone.",Sub-task,Resolved,Major,Done,2016-09-06T05:44:47.393+0000,2016-11-02T17:06:15.861+0000,Sunil G,Sunil G,['capacityscheduler'],[],2,YARN-4945,support intra queue preemption framework currently inter queue preemption framework cover basic config scheduling monitor interval etc new framework come new candidateselector policy priority user limit part framework tracking jira framework impl alone,"['support', 'intra', 'queue', 'preemption', 'framework', 'currently', 'inter', 'queue', 'preemption', 'framework', 'cover', 'basic', 'config', 'scheduling', 'monitor', 'interval', 'etc', 'new', 'framework', 'come', 'new', 'candidateselector', 'policy', 'priority', 'user', 'limit', 'part', 'framework', 'tracking', 'jira', 'framework', 'impl', 'alone']"
YARN-5612,Return SubClusterId in FederationStateStoreFacade#addApplicationHomeSubCluster for Router Failover,"This JIRA tracks the returning of SubClusterId from FederationStateStoreFacade#addApplicationHomeSubCluster. 
in the design of [YARN-3659|https://issues.apache.org/jira/browse/YARN-3659], to handle better fail-over scenario the response needs SubClusterId. This is bubbling up the change in YARN-5519.",Sub-task,Resolved,Major,Fixed,2016-09-01T18:56:04.937+0000,2017-09-25T21:26:52.102+0000,Giovanni Matteo Fumarola,Giovanni Matteo Fumarola,"['nodemanager', 'resourcemanager']",[],3,YARN-2915,return subclusterid federationstatestorefacade addapplicationhomesubcluster router failover jira track returning subclusterid federationstatestorefacade addapplicationhomesubcluster design yarn handle well fail scenario response need subclusterid bubble change yarn,"['return', 'subclusterid', 'federationstatestorefacade', 'addapplicationhomesubcluster', 'router', 'failover', 'jira', 'track', 'returning', 'subclusterid', 'federationstatestorefacade', 'addapplicationhomesubcluster', 'design', 'yarn', 'handle', 'well', 'fail', 'scenario', 'response', 'need', 'subclusterid', 'bubble', 'change', 'yarn']"
YARN-5611,Provide an API to update lifetime of an application.,"YARN-4205 monitors an Lifetime of an applications is monitored if required. 
Add an client api to update lifetime of an application. ",Sub-task,Resolved,Major,Fixed,2016-09-01T16:35:03.063+0000,2016-12-07T05:41:02.048+0000,Rohith Sharma K S,Rohith Sharma K S,['resourcemanager'],['oct16-hard'],59,YARN-3813,provide api update lifetime application yarn monitor lifetime application monitor require add client api update lifetime application,"['provide', 'api', 'update', 'lifetime', 'application', 'yarn', 'monitor', 'lifetime', 'application', 'monitor', 'require', 'add', 'client', 'api', 'update', 'lifetime', 'application']"
YARN-5593,[Umbrella] Add support for YARN Allocation composed of multiple containers/processes,"Opening this to explicitly call out and track some of the ideas that were discussed in YARN-1040. Specifically the concept of an {{Allocation}} which can be used by an AM to start multiple {{Containers}} against as long as the sum of resources used by all containers {{fitsIn()}} the Resources leased to the {{Allocation}}.
This is especially useful for AMs that might want to target certain operations (like upgrade / restart) on specific containers / processes within an Allocation without fear of losing the allocation.",Improvement,Open,Major,,2016-08-30T14:59:01.813+0000,2017-12-24T17:41:35.735+0000,Arun Suresh,Arun Suresh,[],[],3,,umbrella add support yarn allocation compose multiple container process open explicitly call track idea discuss yarn specifically concept allocation use start multiple container long sum resource use container fitsin resource lease allocation especially useful might want target certain operation like upgrade restart specific container process within allocation without fear lose allocation,"['umbrella', 'add', 'support', 'yarn', 'allocation', 'compose', 'multiple', 'container', 'process', 'open', 'explicitly', 'call', 'track', 'idea', 'discuss', 'yarn', 'specifically', 'concept', 'allocation', 'use', 'start', 'multiple', 'container', 'long', 'sum', 'resource', 'use', 'container', 'fitsin', 'resource', 'lease', 'allocation', 'especially', 'useful', 'might', 'want', 'target', 'certain', 'operation', 'like', 'upgrade', 'restart', 'specific', 'container', 'process', 'within', 'allocation', 'without', 'fear', 'lose', 'allocation']"
YARN-5590,Add support for increase and decrease of container resources with resource profiles,,Sub-task,Patch Available,Major,,2016-08-30T14:08:57.647+0000,2018-07-12T20:59:16.374+0000,Manikandan R,Varun Vasudev,"['nodemanager', 'resourcemanager']",[],12,YARN-7069,add support increase decrease container resource resource profile,"['add', 'support', 'increase', 'decrease', 'container', 'resource', 'resource', 'profile']"
YARN-5587,Add support for resource profiles,Add support for resource profiles on the RM side to allow users to use shorthands to specify resource requirements.,Sub-task,Resolved,Major,Fixed,2016-08-30T14:07:22.959+0000,2019-08-30T02:34:11.279+0000,Varun Vasudev,Varun Vasudev,"['nodemanager', 'resourcemanager']",['oct16-hard'],40,YARN-3926,add support resource profile add support resource profile side allow user use shorthand specify resource requirement,"['add', 'support', 'resource', 'profile', 'add', 'support', 'resource', 'profile', 'side', 'allow', 'user', 'use', 'shorthand', 'specify', 'resource', 'requirement']"
