issue_key,bertopic_topic
YARN-3318,4
YARN-3317,6
YARN-3307,0
YARN-3306,0
YARN-3299,-1
YARN-3250,-1
YARN-3245,-1
YARN-3212,-1
YARN-3242,-1
YARN-3235,0
YARN-3233,0
YARN-3228,0
YARN-3214,8
YARN-3208,-1
YARN-3194,7
YARN-3172,2
YARN-3167,1
YARN-3166,6
YARN-3148,-1
YARN-3139,-1
YARN-3135,6
YARN-3127,1
YARN-3125,1
YARN-3119,-1
YARN-3118,1
YARN-3115,1
YARN-3104,-1
YARN-3100,-1
YARN-3098,0
YARN-3093,-1
YARN-3092,0
YARN-3091,0
YARN-3076,8
YARN-3068,6
YARN-3054,0
YARN-3053,6
YARN-3052,6
YARN-3051,1
YARN-3050,1
YARN-3049,1
YARN-3048,1
YARN-3047,1
YARN-3045,1
YARN-3044,1
YARN-3043,1
YARN-3042,1
YARN-3041,1
YARN-3040,1
YARN-3039,1
YARN-3038,1
YARN-3037,1
YARN-3036,1
YARN-3034,1
YARN-3033,1
YARN-3032,1
YARN-3031,1
YARN-3030,1
YARN-3026,0
YARN-3025,-1
YARN-3003,8
YARN-2995,0
YARN-2986,0
YARN-2980,-1
YARN-2969,0
YARN-2967,0
YARN-2966,-1
YARN-2965,-1
YARN-2885,0
YARN-2948,6
YARN-2947,6
YARN-2942,5
YARN-2928,-1
YARN-2926,5
YARN-2923,8
YARN-2916,-1
YARN-2915,3
YARN-2884,-1
YARN-2903,1
YARN-2895,0
YARN-2888,0
YARN-2887,0
YARN-2883,0
YARN-2882,0
YARN-2879,-1
YARN-2877,0
YARN-2851,0
YARN-2837,1
YARN-2848,0
YARN-2840,1
YARN-2835,-1
YARN-2831,7
YARN-2829,4
YARN-2818,-1
YARN-2817,0
YARN-2814,4
YARN-2800,8
YARN-2793,-1
YARN-2791,0
YARN-2478,2
YARN-2786,8
YARN-2781,-1
YARN-2770,-1
YARN-2765,-1
YARN-2745,0
YARN-2744,8
YARN-2728,8
YARN-2695,-1
YARN-2693,0
YARN-2691,0
YARN-2690,0
YARN-2681,-1
YARN-2673,1
YARN-2672,0
YARN-2653,9
YARN-2670,0
YARN-2664,-1
YARN-2661,-1
YARN-2632,-1
YARN-2629,1
YARN-2619,2
YARN-2616,-1
YARN-2613,7
YARN-2599,-1
YARN-2597,-1
YARN-2427,0
YARN-2575,-1
YARN-2573,1
YARN-2572,0
YARN-2571,4
YARN-2552,2
YARN-2548,5
YARN-2533,5
YARN-2528,-1
YARN-2521,1
YARN-2520,1
YARN-2495,8
YARN-2518,0
YARN-2517,1
YARN-2513,-1
YARN-2503,8
YARN-2501,8
YARN-2496,8
YARN-2494,8
YARN-2488,7
YARN-2487,0
YARN-2475,0
YARN-2468,5
YARN-2466,2
YARN-2458,2
YARN-2456,0
YARN-2440,-1
YARN-2439,2
YARN-2434,7
YARN-2420,0
YARN-2415,-1
YARN-2411,0
YARN-2408,-1
YARN-2386,0
YARN-2378,0
YARN-2331,-1
YARN-2360,0
YARN-2310,6
YARN-2344,-1
YARN-2320,-1
YARN-2302,-1
YARN-2299,-1
YARN-2298,4
YARN-2297,0
YARN-2292,6
YARN-2291,-1
YARN-2278,-1
YARN-2257,0
YARN-2253,8
YARN-2248,0
YARN-2233,-1
YARN-2227,7
YARN-2207,-1
YARN-2198,2
YARN-2188,-1
YARN-2186,-1
YARN-2185,2
YARN-2181,7
YARN-2179,-1
YARN-2177,1
YARN-2176,0
YARN-2174,-1
YARN-2172,0
YARN-2069,0
YARN-2154,0
YARN-2151,0
YARN-2144,7
YARN-2141,0
YARN-2140,2
YARN-2139,0
YARN-2086,-1
YARN-2113,0
YARN-2102,1
YARN-2099,0
YARN-2098,0
YARN-2084,-1
YARN-2082,-1
YARN-2080,0
YARN-2049,-1
YARN-2041,0
YARN-2040,7
YARN-2037,-1
YARN-2033,1
YARN-2032,1
YARN-2031,-1
YARN-2026,0
YARN-2010,-1
YARN-2005,-1
YARN-2004,0
YARN-2001,0
YARN-2000,7
YARN-1996,-1
YARN-1994,-1
YARN-1993,-1
YARN-1990,0
YARN-1983,2
YARN-1972,2
YARN-1954,-1
YARN-1953,-1
YARN-1969,0
YARN-1968,-1
YARN-1963,0
YARN-1938,1
YARN-1937,1
YARN-1936,1
YARN-1915,-1
YARN-1913,0
