issue_key,dominant_topic,dominant_topic_share,n_topics_present,topic_0_proportion,topic_1_proportion,topic_2_proportion
YARN-9927,0,0.5341163321710061,3,0.5341163321710061,0.25266482043526844,0.21321884739372546
YARN-9936,1,0.7104538038946416,2,0.2894054105218019,0.7104538038946416,0.00014078558355626314
YARN-9926,0,0.46842560365313624,3,0.46842560365313624,0.33571816616481487,0.19585623018204884
YARN-9923,1,0.3769765142427741,3,0.2602443268655215,0.3769765142427741,0.36277915889170437
YARN-9916,0,0.6005188419244747,2,0.6005188419244747,0.00023239600278882847,0.3992487620727366
YARN-9904,1,0.7075897849190647,2,0.10843866005823458,0.7075897849190647,0.18397155502270066
YARN-9899,2,0.9997102708967115,1,0.00014486455164428402,0.00014486455164428402,0.9997102708967115
YARN-9897,1,0.999743688325003,1,0.00012815583749843052,0.999743688325003,0.00012815583749843052
YARN-9879,0,0.6821846546669389,2,0.6821846546669389,0.0004992511233152052,0.31731609420974594
YARN-9848,1,0.5277455391818665,2,0.00045392646391300816,0.5277455391818665,0.4718005343542206
YARN-9809,0,0.9431457319613267,1,0.9431457319613267,0.05643812155511073,0.00041614648356255366
YARN-9805,2,0.85541928270269,1,0.0005546311702719806,0.1440260861270381,0.85541928270269
YARN-9748,2,0.6533296820463884,2,0.345902858245246,0.0007674597083655193,0.6533296820463884
YARN-9726,1,0.5376672465100751,2,0.00024981264051968685,0.5376672465100751,0.46208294084940504
YARN-9802,1,0.5059811280945686,2,0.0007674597083654544,0.5059811280945686,0.493251412197066
YARN-9768,0,0.524919034513797,2,0.524919034513797,0.0002498126405197283,0.4748311528456833
YARN-9761,0,0.7655900925550781,2,0.7655900925550781,0.2339343962704091,0.000475511174512678
YARN-9760,0,0.5039418624245067,3,0.5039418624245067,0.2574253140464522,0.2386328235290412
YARN-9746,2,0.9996876464157426,1,0.0001561767921287411,0.0001561767921287411,0.9996876464157426
YARN-9754,0,0.5824111093029751,2,0.5824111093029751,0.41713496423311175,0.0004539264639129718
YARN-9753,1,0.6982520413274925,2,0.0001427959445952117,0.6982520413274925,0.3016051627279124
YARN-9737,1,0.5635557622529415,2,0.4362520409375254,0.5635557622529415,0.0001921968095330379
YARN-9730,0,0.6730594650711197,2,0.6730594650711197,0.32684532403675415,9.521089212608399e-05
YARN-9698,2,0.5802521389569404,2,0.41950413693874544,0.00024372410431401415,0.5802521389569404
YARN-9697,0,0.802877191246644,2,0.802877191246644,0.19694433293682906,0.00017847581652688732
YARN-9686,1,0.5881701676897462,2,0.30096129568935137,0.5881701676897462,0.11086853662090237
YARN-9671,1,0.9274892481882003,1,0.07227835580901094,0.9274892481882003,0.00023239600278881532
YARN-9669,1,0.9998734417515662,1,6.327912421693921e-05,0.9998734417515662,6.327912421693921e-05
YARN-9664,1,0.6938288129937132,2,0.00041614648356235584,0.6938288129937132,0.30575504052272434
YARN-9663,2,0.7130029011812232,2,0.0005254860746193443,0.28647161274415744,0.7130029011812232
YARN-9656,1,0.9450279537123267,1,0.00016121231662104233,0.9450279537123267,0.05481083397105225
YARN-9652,2,0.3653962655827194,3,0.2852703545061315,0.349333379911149,0.3653962655827194
YARN-9634,2,0.699688694656555,2,0.00014486455164426954,0.3001664407918006,0.699688694656555
YARN-9633,2,0.7990758791117364,2,0.0002938583602704761,0.20063026252799304,0.7990758791117364
YARN-9618,0,0.6208819096978144,2,0.6208819096978144,0.00021724961981329396,0.3789008406823721
YARN-9609,2,0.9995352079944223,1,0.00023239600278879041,0.00023239600278879041,0.9995352079944223
YARN-9607,2,0.7443225966885689,2,0.05340441355676102,0.20227298975467012,0.7443225966885689
YARN-9603,0,0.9996080736821478,1,0.9996080736821478,0.00019596315892615198,0.00019596315892615198
YARN-9577,2,0.9987523393636927,1,0.0006238303181536531,0.0006238303181536531,0.9987523393636927
YARN-9555,1,0.5243376519239289,2,0.0002775464890370421,0.5243376519239289,0.4753848015870341
YARN-9528,2,0.9985744832501781,1,0.000712758374910979,0.000712758374910979,0.9985744832501781
YARN-9439,1,0.9983374896093098,1,0.0008312551953451317,0.9983374896093098,0.0008312551953451317
YARN-9499,1,0.7912161297709035,2,0.0002220741727737557,0.7912161297709035,0.2085617960563227
YARN-9477,2,0.6626976473889716,2,0.0003995205753098589,0.3369028320357186,0.6626976473889716
YARN-9473,1,0.9996298352766981,1,0.0001850823616509895,0.9996298352766981,0.0001850823616509895
YARN-9472,0,0.9987523393636928,1,0.9987523393636928,0.0006238303181535362,0.0006238303181535362
YARN-9443,2,0.5356693205720207,2,0.46383142830466395,0.0004992511233152764,0.5356693205720207
YARN-9421,1,0.5119695244481637,2,0.3831868183759124,0.5119695244481637,0.104843657175924
YARN-9416,0,0.7915053852463159,2,0.7915053852463159,0.00034447123665196333,0.20815014351703212
YARN-9414,1,0.9994290608050242,1,0.00028546959748793895,0.9994290608050242,0.00028546959748793895
YARN-9378,1,0.8101806132159323,2,0.00017847581652690868,0.8101806132159323,0.18964091096754088
YARN-9366,2,0.6852869701606833,2,0.0002938583602704062,0.3144191714790463,0.6852869701606833
YARN-9346,2,0.691700678384144,2,0.3077738355412369,0.0005254860746192638,0.691700678384144
YARN-9345,0,0.6821635053886804,2,0.6821635053886804,0.19217126437449428,0.12566523023682521
YARN-9313,1,0.9983374896093098,1,0.0008312551953451201,0.9983374896093098,0.0008312551953451201
