issue_key,dominant_topic,dominant_topic_share,n_topics_present,topic_0_proportion,topic_1_proportion,topic_2_proportion,topic_3_proportion,topic_4_proportion
YARN-4014,4,0.87635955549017,1,0.0011049723756907024,0.0011049723756907024,0.12032552738275792,0.0011049723756907024,0.87635955549017
YARN-4012,2,0.7052947672763521,2,0.00047505938242288265,0.29328005457637907,0.7052947672763521,0.00047505938242288265,0.00047505938242288265
YARN-4007,0,0.7089717619752159,2,0.7089717619752159,0.0004750593824229502,0.0004750593824229502,0.28960305987751517,0.0004750593824229502
YARN-3998,1,0.6898188310352922,2,0.1767115636789409,0.6898188310352922,0.1329702295054924,0.0002496878901373749,0.0002496878901373749
YARN-3997,1,0.3132829351663684,3,0.28941933414433124,0.3132829351663684,0.3078544263500026,0.00011229646266149228,0.08933100787663617
YARN-3983,2,0.63819096401755,3,0.20186130679692216,0.00011757789535569677,0.63819096401755,0.00011757789535569677,0.15971257339481637
YARN-3981,4,0.4524031710744467,3,0.0002853067047076516,0.0002853067047076516,0.2579068149938453,0.28911940052229257,0.4524031710744467
YARN-3980,4,0.5212661467751981,2,0.00047505938242284736,0.00047505938242284736,0.47730867507753344,0.00047505938242284736,0.5212661467751981
YARN-3955,2,0.8220817388414815,2,0.0002773925104022562,0.0002773925104022562,0.8220817388414815,0.17708608362731187,0.0002773925104022562
YARN-3970,2,0.996934865900383,1,0.000766283524904245,0.000766283524904245,0.996934865900383,0.000766283524904245,0.000766283524904245
YARN-3969,2,0.6667588968403704,2,0.00035650623885931555,0.24014733252497783,0.6667588968403704,0.00035650623885931555,0.09238075815693302
YARN-3964,4,0.822423281575513,2,0.00025608194622284884,0.00025608194622284884,0.1768084725858185,0.00025608194622284884,0.822423281575513
YARN-3698,3,0.7574201829807149,2,0.0005249343832022686,0.24100501386967826,0.0005249343832022686,0.7574201829807149,0.0005249343832022686
YARN-3935,2,0.3686389699175375,4,0.00028530670470766937,0.21803992960892402,0.3686389699175375,0.1747766527791331,0.2382591409896977
YARN-3942,2,0.42762155804501195,2,0.09138451046248652,0.0003220611916265354,0.42762155804501195,0.35214198609113345,0.12852988420974154
YARN-3929,4,0.5395960001438151,2,0.0002773925104022906,0.0002773925104022906,0.14183159439645077,0.3180176204389296,0.5395960001438151
YARN-3928,3,0.4872682922589582,3,0.23716989375046826,0.0005249343832024124,0.2745119452241688,0.4872682922589582,0.0005249343832024124
YARN-3927,0,0.3701754941390935,3,0.3701754941390935,0.26176494700175884,0.09085221823042722,0.00039920159680656686,0.27680813903191376
YARN-3926,0,0.5549577137174784,3,0.5549577137174784,0.0001332445036642573,0.26739252499677507,0.0001332445036642573,0.17738327227841824
YARN-3923,4,0.41232766012874755,3,0.00012187690432667784,0.2972502911440782,0.290178294918521,0.00012187690432667784,0.41232766012874755
YARN-3922,1,0.41547208021509563,3,0.00011229646266145537,0.41547208021509563,0.2657809294998667,0.00011229646266145537,0.31852239735971477
YARN-3920,2,0.7504704430608906,2,0.00024360535931795978,0.21380746018051813,0.7504704430608906,0.00024360535931795978,0.03523488603995552
YARN-3914,2,0.59249518144984,2,0.0003025718608170339,0.0003025718608170339,0.59249518144984,0.4065971029677089,0.0003025718608170339
YARN-3904,4,0.9194927489276025,1,0.00030257186081704526,0.07959953548994647,0.00030257186081704526,0.00030257186081704526,0.9194927489276025
YARN-3901,4,0.5038906333211025,3,0.00016116035455282626,0.14414619738045548,0.17132635199930915,0.18047565694457998,0.5038906333211025
YARN-3895,4,0.5716366127143186,2,0.000904977375565754,0.000904977375565754,0.000904977375565754,0.4256484551589841,0.5716366127143186
YARN-3887,4,0.803408308529011,2,0.0005540166204986844,0.0005540166204986844,0.19492964160949294,0.0005540166204986844,0.803408308529011
YARN-3870,2,0.44252472604615223,3,0.10386625985844285,0.1524189833123654,0.44252472604615223,0.17385555458980714,0.12733447619323238
YARN-3867,0,0.5335516869002462,2,0.5335516869002462,0.46414946252504097,0.0007662835249042999,0.0007662835249042999,0.0007662835249042999
YARN-3866,0,0.5203156250396515,3,0.5203156250396515,0.25796035327438926,0.22105846428163278,0.00033277870216315975,0.00033277870216315975
YARN-3864,4,0.9977839335180054,1,0.0005540166204986457,0.0005540166204986457,0.0005540166204986457,0.0005540166204986457,0.9977839335180054
YARN-3863,4,0.7717576590497871,2,0.00038387715930911074,0.00038387715930911074,0.00038387715930911074,0.22709070947228557,0.7717576590497871
YARN-3851,0,0.7547582110383543,1,0.7547582110383543,0.0002378121284186126,0.0002378121284186126,0.12581240627109577,0.11895375843371261
YARN-3822,1,0.5853098976052221,2,0.0009049773755659702,0.5853098976052221,0.41197517026808006,0.0009049773755659702,0.0009049773755659702
YARN-3818,4,0.7334110250842767,2,0.0006230529595017812,0.0006230529595017812,0.264719816037218,0.0006230529595017812,0.7334110250842767
